experiment_id,model_version,parent_version,disorder,change_type,description,data_scope,dataset_name,feature_strategy,class_balance_strategy,calibration_strategy,status,timestamp
exp_rf_elimination_v2_missingness_augmented_20260324T032034.027256+0000,rf_elimination_v2_missingness_augmented,rf_elimination_v1_baseline,elimination,experiment_train,Elimination core model with explicit missingness indicators (exploratory).,strict_no_leakage,dataset_elimination_core,missingness_augmented,balanced_subsample,sigmoid,completed,2026-03-24T03:20:34.029256+00:00
exp_rf_elimination_v3_proxy_pruned_20260324T032113.673394+0000,rf_elimination_v3_proxy_pruned,rf_elimination_v1_baseline,elimination,experiment_train,Elimination items reduced to interpretable proxy subset (exploratory).,strict_no_leakage,dataset_elimination_items,proxy_pruned,balanced,sigmoid,completed,2026-03-24T03:21:13.676464+00:00
exp_rf_elimination_v4_experimental_research_20260324T032147.516568+0000,rf_elimination_v4_experimental_research,rf_elimination_v1_baseline,elimination,experiment_train,Research-extended elimination challenger for controlled comparison (experimental only).,research_extended,dataset_elimination_core,missingness_augmented,balanced_subsample,sigmoid,completed,2026-03-24T03:21:47.518591+00:00
exp_rf_depression_v4_precision_thresholded_20260325T202634.997845+0000,rf_depression_v4_precision_thresholded,rf_depression_v1_baseline,depression,precision_experiment_train,Precision-focused threshold optimization on depression parent set.,strict_no_leakage,dataset_depression_parent,mi_top_k,balanced_subsample,none,completed,2026-03-25T20:26:34.998845+00:00
exp_rf_depression_v5_precision_calibrated_20260325T202654.779727+0000,rf_depression_v5_precision_calibrated,rf_depression_v1_baseline,depression,precision_experiment_train,Depression precision challenger with calibration + constrained threshold.,strict_no_leakage,dataset_depression_parent,mi_top_k,balanced_subsample,sigmoid,completed,2026-03-25T20:26:54.780727+00:00
exp_rf_depression_v6_precision_pruned_20260325T202709.730540+0000,rf_depression_v6_precision_pruned,rf_depression_v1_baseline,depression,precision_experiment_train,Aggressive pruning on combined depression features for PPV uplift.,strict_no_leakage,dataset_depression_combined,mi_top_k,balanced,sigmoid,completed,2026-03-25T20:27:09.732047+00:00
exp_rf_conduct_v4_precision_thresholded_20260325T202724.585006+0000,rf_conduct_v4_precision_thresholded,rf_conduct_v1_baseline,conduct,precision_experiment_train,Conduct minimal set tuned for precision with constrained threshold.,strict_no_leakage,dataset_conduct_minimal,mi_top_k,balanced_subsample,none,completed,2026-03-25T20:27:24.586006+00:00
exp_rf_conduct_v5_precision_calibrated_20260325T202743.057397+0000,rf_conduct_v5_precision_calibrated,rf_conduct_v1_baseline,conduct,precision_experiment_train,Clinical conduct challenger with externalizing focus and calibration.,strict_no_leakage,dataset_conduct_clinical,externalizing_focus,balanced_subsample,sigmoid,completed,2026-03-25T20:27:43.058394+00:00
exp_rf_conduct_v6_precision_externalizing_pruned_20260325T202756.312084+0000,rf_conduct_v6_precision_externalizing_pruned,rf_conduct_v1_baseline,conduct,precision_experiment_train,Externalizing-focused pruned conduct challenger for PPV improvement.,strict_no_leakage,dataset_conduct_clinical,externalizing_focus,balanced,none,completed,2026-03-25T20:27:56.313205+00:00
exp_rf_elimination_v5_precision_missingness_20260325T202816.947799+0000,rf_elimination_v5_precision_missingness,rf_elimination_v1_baseline,elimination,precision_experiment_train,Elimination core with missingness flags and precision-constrained threshold.,strict_no_leakage,dataset_elimination_core,missingness_augmented,balanced_subsample,sigmoid,completed,2026-03-25T20:28:16.948801+00:00
exp_rf_elimination_v6_precision_proxy_pruned_20260325T202837.433441+0000,rf_elimination_v6_precision_proxy_pruned,rf_elimination_v1_baseline,elimination,precision_experiment_train,Elimination proxy-pruned precision challenger.,strict_no_leakage,dataset_elimination_items,proxy_pruned,balanced,sigmoid,completed,2026-03-25T20:28:37.433441+00:00
exp_rf_elimination_v7_precision_experimental_research_20260325T202858.343328+0000,rf_elimination_v7_precision_experimental_research,rf_elimination_v1_baseline,elimination,precision_experiment_train,Research scope precision challenger (non-promotable by policy).,research_extended,dataset_elimination_core,missingness_augmented,balanced_subsample,sigmoid,completed,2026-03-25T20:28:58.344330+00:00
exp_rf_adhd_v2_precision_sanity_20260325T202913.124362+0000,rf_adhd_v2_precision_sanity,rf_adhd_v1_baseline,adhd,precision_experiment_train,Light sanity challenger for ADHD precision.,strict_no_leakage,dataset_adhd_clinical,mi_top_k,balanced_subsample,none,completed,2026-03-25T20:29:13.125363+00:00
exp_rf_anxiety_v2_precision_sanity_20260325T202929.994831+0000,rf_anxiety_v2_precision_sanity,rf_anxiety_v1_baseline,anxiety,precision_experiment_train,Light sanity challenger for Anxiety precision.,strict_no_leakage,dataset_anxiety_items,mi_top_k,balanced_subsample,none,completed,2026-03-25T20:29:29.995843+00:00
audit_precision_bottleneck_20260325T230328.550145+0000,precision_bottleneck_audit,,all,audit_run,Comprehensive precision bottleneck audit over champions/challengers and frozen splits.,strict_no_leakage_primary,multiple,audit_diagnostics,diagnostic,diagnostic,completed,2026-03-25T23:03:28.551140+00:00
