model_id,dataset_name,version,disorder,variant,target,n_rows,n_features,search_param_source,best_params,search_meta,threshold_method,threshold_value,balanced_accuracy_val,balanced_accuracy_test,recall_test,specificity_test,f1_test,roc_auc_test,pr_auc_test,brier_score_test,accuracy_test,precision_test,support_positive_test,support_negative_test,missing_ratio_test,risk_band_example,evidence_quality,artifact_pipeline_path,artifact_calibrated_path,artifact_metadata_path,figure_roc,figure_pr,figure_confusion,figure_calibration,dropped_columns_count,manifest_exists
dataset_depression_items__strict_no_leakage,dataset_depression_items,strict_no_leakage,depression,items,target_depression,1905,261,search,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.7980310501524728, 'cv_splits': 3, 'n_iter': 6}",youden_j,0.12379394628185941,0.9022135416666667,0.8541666666666667,0.8333333333333334,0.875,0.5747126436781609,0.9334635416666667,0.6174270111706665,0.059474163196645224,0.8706293706293706,0.43859649122807015,30,256,0.17336494922701817,low,strong,artifacts\models\binary\dataset_depression_items__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_depression_items__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_depression_items__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__strict_no_leakage\dataset_depression_items__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__strict_no_leakage\dataset_depression_items__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__strict_no_leakage\dataset_depression_items__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__strict_no_leakage\dataset_depression_items__strict_no_leakage_calibration.png,9,True
dataset_depression_parent__strict_no_leakage,dataset_depression_parent,strict_no_leakage,depression,parent,target_depression,1905,21,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8031002066304044, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.11635004787889662,0.8875,0.8796875,0.9,0.859375,0.5806451612903226,0.9255208333333333,0.5485234132013457,0.0642327812415637,0.8636363636363636,0.42857142857142855,30,256,0.07059607059607058,low,strong,artifacts\models\binary\dataset_depression_parent__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_depression_parent__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_depression_parent__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__strict_no_leakage\dataset_depression_parent__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__strict_no_leakage\dataset_depression_parent__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__strict_no_leakage\dataset_depression_parent__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__strict_no_leakage\dataset_depression_parent__strict_no_leakage_calibration.png,9,True
dataset_elimination_core__strict_no_leakage,dataset_elimination_core,strict_no_leakage,elimination,core,target_elimination,1905,17,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.5381844996757755, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.11516576454869411,0.6409897292250233,0.699813258636788,0.7647058823529411,0.6349206349206349,0.34210526315789475,0.717436974789916,0.23536478010520942,0.10101400764872075,0.6503496503496503,0.22033898305084745,34,252,0.03619909502262443,low,strong,artifacts\models\binary\dataset_elimination_core__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_elimination_core__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_elimination_core__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__strict_no_leakage\dataset_elimination_core__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__strict_no_leakage\dataset_elimination_core__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__strict_no_leakage\dataset_elimination_core__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__strict_no_leakage\dataset_elimination_core__strict_no_leakage_calibration.png,9,True
dataset_elimination_items__strict_no_leakage,dataset_elimination_items,strict_no_leakage,elimination,items,target_elimination,1905,162,search,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.5110368623863716, 'cv_splits': 3, 'n_iter': 6}",youden_j,0.11825589736366898,0.6715686274509804,0.6509103641456583,0.6470588235294118,0.6547619047619048,0.3076923076923077,0.6721521942110178,0.21343136631518428,0.10201151901547992,0.6538461538461539,0.2018348623853211,34,252,0.0358283691617025,low,strong,artifacts\models\binary\dataset_elimination_items__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_elimination_items__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_elimination_items__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__strict_no_leakage\dataset_elimination_items__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__strict_no_leakage\dataset_elimination_items__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__strict_no_leakage\dataset_elimination_items__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__strict_no_leakage\dataset_elimination_items__strict_no_leakage_calibration.png,9,True
dataset_adhd_clinical__research_extended,dataset_adhd_clinical,research_extended,adhd,clinical,target_adhd,1905,36,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.3918072550031771,0.9360496894409938,0.8800099206349206,0.91875,0.8412698412698413,0.8990825688073395,0.9582837301587301,0.9670412458959052,0.08442745724597339,0.8846153846153846,0.8802395209580839,160,126,0.3594599844599844,high,medium,artifacts\models\binary\dataset_adhd_clinical__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_adhd_clinical__research_extended\calibrated.joblib,artifacts\models\binary\dataset_adhd_clinical__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__research_extended\dataset_adhd_clinical__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__research_extended\dataset_adhd_clinical__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__research_extended\dataset_adhd_clinical__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__research_extended\dataset_adhd_clinical__research_extended_calibration.png,12,True
dataset_adhd_items__research_extended,dataset_adhd_items,research_extended,adhd,items,target_adhd,1905,336,strict_reuse,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.5154194006441187,0.9236273291925465,0.8487599206349206,0.85625,0.8412698412698413,0.8643533123028391,0.9354166666666667,0.9504281342703729,0.10612174726796648,0.8496503496503497,0.8726114649681529,160,126,0.46836496836496827,high,weak,artifacts\models\binary\dataset_adhd_items__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_adhd_items__research_extended\calibrated.joblib,artifacts\models\binary\dataset_adhd_items__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__research_extended\dataset_adhd_items__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__research_extended\dataset_adhd_items__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__research_extended\dataset_adhd_items__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__research_extended\dataset_adhd_items__research_extended_calibration.png,12,True
dataset_adhd_minimal__research_extended,dataset_adhd_minimal,research_extended,adhd,minimal,target_adhd,1905,26,strict_reuse,"{'model__n_estimators': 150, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': 'balanced'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",fixed_0_5,0.5,0.9418385093167702,0.8992559523809525,0.89375,0.9047619047619048,0.9079365079365079,0.9628968253968254,0.9704705101566776,0.077696411757828,0.8986013986013986,0.9225806451612903,160,126,0.19190424959655727,high,strong,artifacts\models\binary\dataset_adhd_minimal__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_adhd_minimal__research_extended\calibrated.joblib,artifacts\models\binary\dataset_adhd_minimal__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__research_extended\dataset_adhd_minimal__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__research_extended\dataset_adhd_minimal__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__research_extended\dataset_adhd_minimal__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__research_extended\dataset_adhd_minimal__research_extended_calibration.png,12,True
dataset_anxiety_combined__research_extended,dataset_anxiety_combined,research_extended,anxiety,combined,target_anxiety,1905,36,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.31576909163199035,0.9120993788819876,0.8986607142857144,0.9285714285714286,0.86875,0.8863636363636364,0.9630952380952381,0.9526284287671681,0.08065129330363302,0.8951048951048951,0.8478260869565217,126,160,0.15870240870240865,low,strong,artifacts\models\binary\dataset_anxiety_combined__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_anxiety_combined__research_extended\calibrated.joblib,artifacts\models\binary\dataset_anxiety_combined__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__research_extended\dataset_anxiety_combined__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__research_extended\dataset_anxiety_combined__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__research_extended\dataset_anxiety_combined__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__research_extended\dataset_anxiety_combined__research_extended_calibration.png,12,True
dataset_anxiety_items__research_extended,dataset_anxiety_items,research_extended,anxiety,items,target_anxiety,1905,261,strict_reuse,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.23474315885704825,0.8850434782608696,0.8682539682539683,0.9365079365079365,0.8,0.855072463768116,0.9518849206349206,0.9417121233515193,0.09278983839227255,0.8601398601398601,0.7866666666666666,126,160,0.14476328269431718,low,strong,artifacts\models\binary\dataset_anxiety_items__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_anxiety_items__research_extended\calibrated.joblib,artifacts\models\binary\dataset_anxiety_items__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__research_extended\dataset_anxiety_items__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__research_extended\dataset_anxiety_items__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__research_extended\dataset_anxiety_items__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__research_extended\dataset_anxiety_items__research_extended_calibration.png,12,True
dataset_anxiety_parent__research_extended,dataset_anxiety_parent,research_extended,anxiety,parent,target_anxiety,1905,28,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.23967359291821733,0.9076770186335403,0.9136904761904762,0.9523809523809523,0.875,0.9022556390977443,0.9674603174603175,0.9579748267409935,0.0771749597608382,0.9090909090909091,0.8571428571428571,126,160,0.11813186813186816,low,strong,artifacts\models\binary\dataset_anxiety_parent__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_anxiety_parent__research_extended\calibrated.joblib,artifacts\models\binary\dataset_anxiety_parent__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__research_extended\dataset_anxiety_parent__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__research_extended\dataset_anxiety_parent__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__research_extended\dataset_anxiety_parent__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__research_extended\dataset_anxiety_parent__research_extended_calibration.png,12,True
dataset_conduct_clinical__research_extended,dataset_conduct_clinical,research_extended,conduct,clinical,target_conduct,1905,38,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.25731505924988834,0.9236924277907885,0.9249609679937549,0.9523809523809523,0.8975409836065574,0.7476635514018691,0.9667252146760343,0.8614795679680987,0.04970759751004612,0.9055944055944056,0.6153846153846154,42,244,0.21365476628634522,low,medium,artifacts\models\binary\dataset_conduct_clinical__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_conduct_clinical__research_extended\calibrated.joblib,artifacts\models\binary\dataset_conduct_clinical__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__research_extended\dataset_conduct_clinical__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__research_extended\dataset_conduct_clinical__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__research_extended\dataset_conduct_clinical__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__research_extended\dataset_conduct_clinical__research_extended_calibration.png,12,True
dataset_conduct_items__research_extended,dataset_conduct_items,research_extended,conduct,items,target_conduct,1905,331,strict_reuse,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.11202908091529806,0.9126658860265418,0.9102263856362217,0.9761904761904762,0.8442622950819673,0.6776859504132231,0.957552693208431,0.8157575220571812,0.057771352811734435,0.8636363636363636,0.5189873417721519,42,244,0.37817167726533285,low,medium,artifacts\models\binary\dataset_conduct_items__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_conduct_items__research_extended\calibrated.joblib,artifacts\models\binary\dataset_conduct_items__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__research_extended\dataset_conduct_items__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__research_extended\dataset_conduct_items__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__research_extended\dataset_conduct_items__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__research_extended\dataset_conduct_items__research_extended_calibration.png,12,True
dataset_conduct_minimal__research_extended,dataset_conduct_minimal,research_extended,conduct,minimal,target_conduct,1905,24,strict_reuse,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.3107760743131274,0.9236924277907885,0.9035909445745511,0.8809523809523809,0.9262295081967213,0.7628865979381443,0.9707259953161593,0.8833326710729552,0.04612315198119256,0.9195804195804196,0.6727272727272727,42,244,0.03642191142191142,low,strong,artifacts\models\binary\dataset_conduct_minimal__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_conduct_minimal__research_extended\calibrated.joblib,artifacts\models\binary\dataset_conduct_minimal__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__research_extended\dataset_conduct_minimal__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__research_extended\dataset_conduct_minimal__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__research_extended\dataset_conduct_minimal__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__research_extended\dataset_conduct_minimal__research_extended_calibration.png,12,True
dataset_depression_combined__research_extended,dataset_depression_combined,research_extended,depression,combined,target_depression,1905,26,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.06191752486002968,0.9296875,0.8807291666666667,0.9333333333333333,0.828125,0.5490196078431373,0.9622395833333334,0.7720106647657016,0.04372590597254361,0.8391608391608392,0.3888888888888889,30,256,0.11941904249596559,low,strong,artifacts\models\binary\dataset_depression_combined__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_depression_combined__research_extended\calibrated.joblib,artifacts\models\binary\dataset_depression_combined__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__research_extended\dataset_depression_combined__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__research_extended\dataset_depression_combined__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__research_extended\dataset_depression_combined__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__research_extended\dataset_depression_combined__research_extended_calibration.png,12,True
dataset_depression_items__research_extended,dataset_depression_items,research_extended,depression,items,target_depression,1905,262,strict_reuse,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.06753265612787508,0.8993489583333334,0.862109375,0.9,0.82421875,0.5294117647058824,0.9453125,0.6905849878101544,0.05307199983862953,0.8321678321678322,0.375,30,256,0.17270325094752573,low,strong,artifacts\models\binary\dataset_depression_items__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_depression_items__research_extended\calibrated.joblib,artifacts\models\binary\dataset_depression_items__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__research_extended\dataset_depression_items__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__research_extended\dataset_depression_items__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__research_extended\dataset_depression_items__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_items__research_extended\dataset_depression_items__research_extended_calibration.png,12,True
dataset_depression_parent__research_extended,dataset_depression_parent,research_extended,depression,parent,target_depression,1905,22,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.3447431023282856,0.9196614583333333,0.878515625,0.8,0.95703125,0.7384615384615385,0.9651041666666667,0.7675670707838618,0.042960287371645874,0.9405594405594405,0.6857142857142857,30,256,0.0673871582962492,low,strong,artifacts\models\binary\dataset_depression_parent__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_depression_parent__research_extended\calibrated.joblib,artifacts\models\binary\dataset_depression_parent__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__research_extended\dataset_depression_parent__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__research_extended\dataset_depression_parent__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__research_extended\dataset_depression_parent__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_parent__research_extended\dataset_depression_parent__research_extended_calibration.png,12,True
dataset_elimination_core__research_extended,dataset_elimination_core,research_extended,elimination,core,target_elimination,1905,18,strict_reuse,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.150080895183719,0.8292483660130718,0.8415032679738561,0.7941176470588235,0.8888888888888888,0.6067415730337079,0.8850373482726424,0.4819500566326821,0.08141431753994668,0.8776223776223776,0.4909090909090909,34,252,0.034188034188034185,low,strong,artifacts\models\binary\dataset_elimination_core__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_elimination_core__research_extended\calibrated.joblib,artifacts\models\binary\dataset_elimination_core__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__research_extended\dataset_elimination_core__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__research_extended\dataset_elimination_core__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__research_extended\dataset_elimination_core__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_core__research_extended\dataset_elimination_core__research_extended_calibration.png,12,True
dataset_elimination_items__research_extended,dataset_elimination_items,research_extended,elimination,items,target_elimination,1905,163,strict_reuse,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': nan, 'cv_splits': 0, 'n_iter': 0}",youden_j,0.12930911268536993,0.755718954248366,0.6742530345471522,0.5588235294117647,0.7896825396825397,0.3584905660377358,0.7820961718020542,0.2820716216115569,0.09705829968660297,0.7622377622377622,0.2638888888888889,34,252,0.03560856321592518,low,strong,artifacts\models\binary\dataset_elimination_items__research_extended\pipeline.joblib,artifacts\models\calibrated\dataset_elimination_items__research_extended\calibrated.joblib,artifacts\models\binary\dataset_elimination_items__research_extended\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__research_extended\dataset_elimination_items__research_extended_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__research_extended\dataset_elimination_items__research_extended_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__research_extended\dataset_elimination_items__research_extended_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_elimination_items__research_extended\dataset_elimination_items__research_extended_calibration.png,12,True
