input_key,domain(s),direct_or_derived_or_flag_or_system,legacy_semantics,current_reconstructed_semantics,exact_match_yes_no,approximate_match_yes_no,exact_match_rate_current,exact_match_rate_fixed,approx_match_rate_current,mismatch_type,mismatch_severity,notes
cbcl_004,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_005,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_006,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_007,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_008,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_009,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_010,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_011,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_012,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_013,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_014,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_015,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_016,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_017,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_018,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_019,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_020,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_021,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_022,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_023,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_024,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_025,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_026,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_027,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_028,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_029,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_030,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_031,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_032,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_033,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_034,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_035,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_036,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_037,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_038,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_039,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_040,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_041,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_042,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_043,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_044,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_045,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_046,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_047,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_048,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_049,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_050,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_051,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_052,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_053,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_054,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_055,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_056,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_057,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_058,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_059,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_060,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_061,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_062,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_063,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_064,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_065,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_066,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_067,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_068,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_069,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_070,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_071,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_072,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_073,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_074,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_075,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_076,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_077,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_078,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_079,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_080,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_081,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_082,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_083,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_084,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_085,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_086,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_087,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_088,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_089,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_090,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_091,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_092,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_093,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_094,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_095,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_096,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_097,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_098,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_099,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_100,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_101,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_102,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_103,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_104,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_105,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_106,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_107,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_108,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_109,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_110,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_111,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_112,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_113,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_114,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_115,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_116,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_117,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_118,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_aggressive_behavior_proxy,adhd;conduct;elimination;anxiety;depression,derived,CBCL,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_anxious_depressed_proxy,adhd;conduct;elimination;anxiety;depression,derived,CBCL,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_attention_problems_proxy,adhd;conduct;elimination;anxiety;depression,derived,CBCL,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_externalizing_proxy,adhd;conduct;elimination;anxiety;depression,derived,CBCL,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_internalizing_proxy,adhd;conduct;elimination;anxiety;depression,derived,CBCL,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_rule_breaking_proxy,adhd;conduct;elimination;anxiety;depression,derived,CBCL,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
conners_cognitive_problems,adhd,direct_question,CONNERS,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
conners_conduct_problems,adhd,direct_question,CONNERS,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
conners_hyperactivity,adhd,direct_question,CONNERS,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
release,adhd;conduct;elimination;anxiety,system_filled,SYSTEM_RUNTIME,rebuild_system_filled,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_01,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_02,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_03,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_04,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_05,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_06,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_07,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_08,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_09,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_10,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_11,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_12,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_13,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_14,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_15,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_16,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_17,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_18,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_19,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_20,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_21,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_22,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_23,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_24,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_25,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_26,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_27,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_28,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_29,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_30,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_31,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_32,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_33,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_34,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_35,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_36,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_37,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_38,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_39,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
scared_p_40,anxiety,direct_question,SCARED_P,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
