table_index,matrix_name,row_index_in_table,section,diagnostic_unit,external_domain,parameter_name,dsm_block,criterion_label,criterion_text,data_type,normative_rule,code_reference,audit_result,rule_of_use,source_document
2,transversal_parameters_matrix,10,transversal_parameters,TRANSVERSAL,TRANSVERSAL,functional_impairment,Funcionamiento,,Malestar clínicamente significativo o deterioro funcional requerido,Booleano + texto estructurado,Debe registrar existencia y área funcional afectada,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,11,transversal_parameters,TRANSVERSAL,TRANSVERSAL,substance_medical_exclusion,Exclusiones,,"Descarta atribución a sustancias, medicamentos o afección médica",Booleano,Debe existir como gate obligatorio cuando el DSM-5 lo exige,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,12,transversal_parameters,TRANSVERSAL,TRANSVERSAL,other_mental_disorder_exclusion,Exclusiones,,Descarta mejor explicación por otro trastorno mental,Booleano + texto estructurado,Debe registrar diagnóstico excluyente cuando aplique,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,13,transversal_parameters,TRANSVERSAL,TRANSVERSAL,diagnostic_coexistence_rule,Comorbilidad,,Regla de coexistencia permitida o prohibida con otros diagnósticos,Texto estructurado,Debe distinguir comorbilidad permitida y coexistencia prohibida,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,14,transversal_parameters,TRANSVERSAL,TRANSVERSAL,subjective_report,Evidencia,,Información subjetiva del propio niño o adolescente cuando el criterio lo contempla,Booleano + texto,Debe conservarse cuando el DSM-5 lo menciona,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,15,transversal_parameters,TRANSVERSAL,TRANSVERSAL,observer_report,Evidencia,,"Observación por terceros, historia clínica o informantes significativos",Texto estructurado,Debe conservarse cuando el DSM-5 exige observabilidad o historia,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,16,transversal_parameters,TRANSVERSAL,TRANSVERSAL,specifier_set,Salida,,Especificadores aplicables al diagnóstico,Categórico multivalor,Debe codificarse por separado del criterio principal,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,17,transversal_parameters,TRANSVERSAL,TRANSVERSAL,severity_current,Salida,,Gravedad actual cuando el DSM-5 la especifica,Ordinal,Debe preservarse como variable independiente,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,18,transversal_parameters,TRANSVERSAL,TRANSVERSAL,remission_status,Salida,,Remisión parcial o total cuando el DSM-5 la especifica,Ordinal,Debe preservarse como variable independiente,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,1,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_GATE_A,Criterio A,Criterio A,Patrón persistente de inatención y/o hiperactividad-impulsividad que interfiere con el funcionamiento o el desarrollo,Booleano,Debe cumplirse A1 y/o A2,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,2,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_THRESHOLD,A1,A1,Seis o más síntomas de inatención durante al menos 6 meses; cinco o más si la edad es 17 años o más,Numérico,Umbral de conteo sintomático por grupo etario,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,3,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_THRESHOLD,A2,A2,Seis o más síntomas de hiperactividad-impulsividad durante al menos 6 meses; cinco o más si la edad es 17 años o más,Numérico,Umbral de conteo sintomático por grupo etario,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,4,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_ONSET_BEFORE_12,B,B,Algunos síntomas presentes antes de los 12 años,Booleano + edad,Gate obligatorio,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,5,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_MULTICONTEXT,C,C,Varios síntomas presentes en dos o más contextos,Numérico + multivalor,Gate obligatorio,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,6,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_IMPAIRMENT,D,D,"Pruebas claras de interferencia o reducción de la calidad del funcionamiento social, académico o laboral",Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,7,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_EXCLUSION,E,E,No ocurre exclusivamente durante esquizofrenia u otro trastorno psicótico y no se explica mejor por otro trastorno mental,Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,8,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_PRESENTATION,Especificador,Especificador,"Presentación combinada, predominio de inatención o predominio hiperactivo/impulsivo",Categórico,Se define según cumplimiento reciente de A1 y A2,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,9,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_PARTIAL_REMISSION,Especificador,Especificador,"Remisión parcial cuando antes se cumplían todos los criterios y en los últimos 6 meses no se cumplen todos, pero persiste deterioro",Booleano,Se codifica por separado,,,,matriz normativa dsm5.docx
3,diagnostic_structural_matrix,10,diagnostic_structural,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_SEVERITY,Gravedad actual,Gravedad actual,"Leve, moderado o grave",Ordinal,Se codifica por separado,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,1,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_a,A1.a,A1.a,Falla en prestar atención a detalles o comete errores por descuido,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,2,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_b,A1.b,A1.b,Dificultad para mantener la atención en tareas o actividades recreativas,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,3,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_c,A1.c,A1.c,Parece no escuchar cuando se le habla directamente,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,4,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_d,A1.d,A1.d,"No sigue instrucciones y no termina tareas escolares, quehaceres o deberes",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,5,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_e,A1.e,A1.e,Tiene dificultad para organizar tareas y actividades,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,6,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_f,A1.f,A1.f,"Evita, le disgusta o se muestra poco entusiasta ante tareas de esfuerzo mental sostenido",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,7,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_g,A1.g,A1.g,Pierde cosas necesarias para tareas o actividades,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,8,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_h,A1.h,A1.h,Se distrae con facilidad por estímulos externos o pensamientos no relacionados,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,9,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_i,A1.i,A1.i,Olvida actividades cotidianas,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,10,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_a,A2.a,A2.a,"Juguetea, golpea manos o pies o se retuerce en el asiento",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,11,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_b,A2.b,A2.b,Se levanta cuando debería permanecer sentado,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,12,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_c,A2.c,A2.c,Corretea o trepa cuando no resulta apropiado,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,13,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_d,A2.d,A2.d,Es incapaz de jugar o de ocuparse tranquilamente en actividades recreativas,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,14,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_e,A2.e,A2.e,Actúa como si estuviera impulsado por un motor,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,15,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_f,A2.f,A2.f,Habla excesivamente,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,16,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_g,A2.g,A2.g,Responde inesperadamente o antes de que se concluya la pregunta,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,17,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_h,A2.h,A2.h,Le es difícil esperar su turno,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
4,diagnostic_symptom_matrix,18,diagnostic_symptom,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_i,A2.i,A2.i,Interrumpe o se inmiscuye con otros,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,1,diagnostic_structural,Trastorno de conducta,Conducta,CD_GATE_A,Criterio A,Criterio A,"Patrón repetitivo y persistente de comportamiento que vulnera derechos básicos, normas o reglas sociales",Booleano,Gate principal,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,2,diagnostic_structural,Trastorno de conducta,Conducta,CD_THRESHOLD,A,A,Tres o más de quince criterios en los últimos 12 meses y al menos uno en los últimos 6 meses,Numérico + temporalidad,Umbral diagnóstico obligatorio,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,3,diagnostic_structural,Trastorno de conducta,Conducta,CD_IMPAIRMENT,B,B,"Malestar clínicamente significativo en el funcionamiento social, académico o laboral",Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,4,diagnostic_structural,Trastorno de conducta,Conducta,CD_ASPD_EXCLUSION,C,C,"Si la edad es 18 años o más, no se cumplen criterios de trastorno de la personalidad antisocial",Booleano,Gate obligatorio,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,5,diagnostic_structural,Trastorno de conducta,Conducta,CD_ONSET_TYPE,Especificador,Especificador,"Tipo de inicio infantil, adolescente o no especificado",Categórico,Debe capturar edad del primer síntoma,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,6,diagnostic_structural,Trastorno de conducta,Conducta,CD_LIMITED_PROSOCIAL,Especificador,Especificador,Con emociones prosociales limitadas si se observan al menos dos rasgos durante 12 meses en diversas relaciones y situaciones,Booleano + conteo,Requiere múltiples fuentes,,,,matriz normativa dsm5.docx
5,diagnostic_structural_matrix,7,diagnostic_structural,Trastorno de conducta,Conducta,CD_SEVERITY,Gravedad actual,Gravedad actual,"Leve, moderado o grave",Ordinal,Se codifica por separado,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,1,diagnostic_symptom,Trastorno de conducta,Conducta,CD_1,Agresión 1,Agresión 1,"A menudo acosa, amenaza o intimida a otros",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,2,diagnostic_symptom,Trastorno de conducta,Conducta,CD_2,Agresión 2,Agresión 2,A menudo inicia peleas,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,3,diagnostic_symptom,Trastorno de conducta,Conducta,CD_3,Agresión 3,Agresión 3,Ha usado un arma que puede provocar serios daños a terceros,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,4,diagnostic_symptom,Trastorno de conducta,Conducta,CD_4,Agresión 4,Agresión 4,Ha ejercido crueldad física contra personas,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,5,diagnostic_symptom,Trastorno de conducta,Conducta,CD_5,Agresión 5,Agresión 5,Ha ejercido crueldad física contra animales,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,6,diagnostic_symptom,Trastorno de conducta,Conducta,CD_6,Agresión 6,Agresión 6,Ha robado enfrentándose a una víctima,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,7,diagnostic_symptom,Trastorno de conducta,Conducta,CD_7,Agresión 7,Agresión 7,Ha violado sexualmente a alguien,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,8,diagnostic_symptom,Trastorno de conducta,Conducta,CD_8,Propiedad 1,Propiedad 1,Ha prendido fuego deliberadamente con intención de provocar daños graves,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,9,diagnostic_symptom,Trastorno de conducta,Conducta,CD_9,Propiedad 2,Propiedad 2,Ha destruido deliberadamente la propiedad de alguien sin usar fuego,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,10,diagnostic_symptom,Trastorno de conducta,Conducta,CD_10,Engaño/Robo 1,Engaño/Robo 1,"Ha invadido la casa, edificio o automóvil de alguien",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,11,diagnostic_symptom,Trastorno de conducta,Conducta,CD_11,Engaño/Robo 2,Engaño/Robo 2,A menudo miente para obtener objetos o favores o para evitar obligaciones,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,12,diagnostic_symptom,Trastorno de conducta,Conducta,CD_12,Engaño/Robo 3,Engaño/Robo 3,Ha robado objetos de cierto valor sin enfrentarse a la víctima,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,13,diagnostic_symptom,Trastorno de conducta,Conducta,CD_13,Normas 1,Normas 1,"A menudo sale por la noche pese a la prohibición parental, con inicio antes de los 13 años",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,14,diagnostic_symptom,Trastorno de conducta,Conducta,CD_14,Normas 2,Normas 2,Ha pasado una noche fuera de casa sin permiso al menos dos veces o una vez prolongada,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
6,diagnostic_symptom_matrix,15,diagnostic_symptom,Trastorno de conducta,Conducta,CD_15,Normas 3,Normas 3,"A menudo falta en la escuela, con inicio antes de los 13 años",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
7,diagnostic_specifiers_matrix,1,diagnostic_specifiers,Trastorno de conducta,Conducta,CD_LPE_1,Emociones prosociales limitadas,Emociones prosociales limitadas,Falta de remordimientos o culpabilidad,Booleano,Debe observarse de forma persistente durante 12 meses,,,,matriz normativa dsm5.docx
7,diagnostic_specifiers_matrix,2,diagnostic_specifiers,Trastorno de conducta,Conducta,CD_LPE_2,Emociones prosociales limitadas,Emociones prosociales limitadas,Insensible o carente de empatía,Booleano,Debe observarse de forma persistente durante 12 meses,,,,matriz normativa dsm5.docx
7,diagnostic_specifiers_matrix,3,diagnostic_specifiers,Trastorno de conducta,Conducta,CD_LPE_3,Emociones prosociales limitadas,Emociones prosociales limitadas,Despreocupado por su rendimiento,Booleano,Debe observarse de forma persistente durante 12 meses,,,,matriz normativa dsm5.docx
7,diagnostic_specifiers_matrix,4,diagnostic_specifiers,Trastorno de conducta,Conducta,CD_LPE_4,Emociones prosociales limitadas,Emociones prosociales limitadas,Afecto superficial o deficiente,Booleano,Debe observarse de forma persistente durante 12 meses,,,,matriz normativa dsm5.docx
8,diagnostic_structural_matrix,1,diagnostic_structural,Enuresis,Eliminación,ENUR_A,A,A,"Emisión repetida de orina en la cama o en la ropa, voluntaria o involuntaria",Booleano,Gate principal,,,,matriz normativa dsm5.docx
8,diagnostic_structural_matrix,2,diagnostic_structural,Enuresis,Eliminación,ENUR_B,B,B,"Frecuencia de al menos 2 veces por semana durante 3 meses consecutivos o, alternativamente, malestar clínicamente significativo o deterioro funcional",Numérico + temporalidad + booleano,Gate obligatorio,,,,matriz normativa dsm5.docx
8,diagnostic_structural_matrix,3,diagnostic_structural,Enuresis,Eliminación,ENUR_C,C,C,Edad cronológica de al menos 5 años o grado de desarrollo equivalente,Numérico,Gate obligatorio,,,,matriz normativa dsm5.docx
8,diagnostic_structural_matrix,4,diagnostic_structural,Enuresis,Eliminación,ENUR_D,D,D,No atribuible a sustancia ni a afección médica relevante,Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
8,diagnostic_structural_matrix,5,diagnostic_structural,Enuresis,Eliminación,ENUR_SUBTYPE,Especificador,Especificador,"Sólo nocturna, sólo diurna o nocturna y diurna",Categórico,Debe codificarse por separado,,,,matriz normativa dsm5.docx
9,diagnostic_structural_matrix,1,diagnostic_structural,Encopresis,Eliminación,ENC_A,A,A,"Excreción repetida de heces en lugares inapropiados, voluntaria o involuntaria",Booleano,Gate principal,,,,matriz normativa dsm5.docx
9,diagnostic_structural_matrix,2,diagnostic_structural,Encopresis,Eliminación,ENC_B,B,B,Al menos un episodio por mes durante un mínimo de 3 meses,Numérico + temporalidad,Gate obligatorio,,,,matriz normativa dsm5.docx
9,diagnostic_structural_matrix,3,diagnostic_structural,Encopresis,Eliminación,ENC_C,C,C,Edad cronológica de al menos 4 años o grado de desarrollo equivalente,Numérico,Gate obligatorio,,,,matriz normativa dsm5.docx
9,diagnostic_structural_matrix,4,diagnostic_structural,Encopresis,Eliminación,ENC_D,D,D,"No atribuible a sustancia ni a afección médica, salvo mecanismo relacionado con estreñimiento",Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
9,diagnostic_structural_matrix,5,diagnostic_structural,Encopresis,Eliminación,ENC_SUBTYPE,Especificador,Especificador,Con estreñimiento e incontinencia por desbordamiento o sin estreñimiento e incontinencia por desbordamiento,Categórico,Debe codificarse por separado,,,,matriz normativa dsm5.docx
10,diagnostic_structural_matrix,1,diagnostic_structural,Trastorno de ansiedad por separación,Ansiedad,SAD_A_THRESHOLD,A,A,"Miedo o ansiedad excesiva e inapropiada respecto de la separación, con al menos tres de ocho circunstancias",Numérico,Umbral sintomático obligatorio,,,,matriz normativa dsm5.docx
10,diagnostic_structural_matrix,2,diagnostic_structural,Trastorno de ansiedad por separación,Ansiedad,SAD_B,B,B,Persistencia de al menos 4 semanas en niños y adolescentes,Temporalidad,Gate obligatorio,,,,matriz normativa dsm5.docx
10,diagnostic_structural_matrix,3,diagnostic_structural,Trastorno de ansiedad por separación,Ansiedad,SAD_C,C,C,Malestar clínicamente significativo o deterioro funcional,Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
10,diagnostic_structural_matrix,4,diagnostic_structural,Trastorno de ansiedad por separación,Ansiedad,SAD_D,D,D,No se explica mejor por otro trastorno mental,Booleano + texto,Gate obligatorio,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,1,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_1,A.1,A.1,Malestar excesivo y recurrente cuando se prevé o se vive la separación del hogar o de las figuras de mayor apego,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,2,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_2,A.2,A.2,Preocupación excesiva y persistente por la posible pérdida o daño de las figuras de mayor apego,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,3,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_3,A.3,A.3,Preocupación excesiva y persistente por un acontecimiento adverso que cause la separación,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,4,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_4,A.4,A.4,"Resistencia o rechazo persistente a salir lejos de casa, a la escuela, al trabajo o a otro lugar por miedo a la separación",Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,5,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_5,A.5,A.5,Miedo excesivo o resistencia persistente a estar solo o sin las figuras de mayor apego,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,6,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_6,A.6,A.6,Resistencia o rechazo persistente a dormir fuera de casa o sin estar cerca de una figura de apego,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
11,diagnostic_symptom_matrix,7,diagnostic_symptom,Trastorno de ansiedad por separación,Ansiedad,SAD_7,A.7,A.7,Pesadillas repetidas sobre el tema de la separación,Booleano / ordinal de frecuencia,Debe permitir conteo para el umbral diagnóstico,,,,matriz normativa dsm5.docx
