table_name,constraint_name,columns,referred_table,referred_columns
qr_export_log,qr_export_log_evaluation_id_fkey,evaluation_id,qr_evaluation,id
qr_export_log,qr_export_log_requested_by_user_id_fkey,requested_by_user_id,app_user,id
qr_notification,qr_notification_evaluation_id_fkey,evaluation_id,qr_evaluation,id
qr_notification,qr_notification_user_id_fkey,user_id,app_user,id
qr_processing_job,qr_processing_job_evaluation_id_fkey,evaluation_id,qr_evaluation,id
qr_question,qr_question_section_id_fkey,section_id,qr_questionnaire_section,id
qr_question_option,qr_question_option_question_id_fkey,question_id,qr_question,id
qr_questionnaire_section,qr_questionnaire_section_questionnaire_version_id_fkey,questionnaire_version_id,qr_questionnaire_version,id
qr_questionnaire_template,qr_questionnaire_template_created_by_user_id_fkey,created_by_user_id,app_user,id
qr_questionnaire_version,qr_questionnaire_version_created_by_user_id_fkey,created_by_user_id,app_user,id
qr_questionnaire_version,qr_questionnaire_version_template_id_fkey,template_id,qr_questionnaire_template,id
question,question_disorder_id_fkey,disorder_id,disorder,id
question,question_questionnaire_id_fkey,questionnaire_id,questionnaire_template,id
question_disorder,question_disorder_disorder_id_fkey,disorder_id,disorder,id
question_disorder,question_disorder_question_id_fkey,question_id,question,id
questionnaire_access_grants,questionnaire_access_grants_grantee_user_id_fkey,grantee_user_id,app_user,id
questionnaire_access_grants,questionnaire_access_grants_owner_user_id_fkey,owner_user_id,app_user,id
questionnaire_access_grants,questionnaire_access_grants_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_audit_events,questionnaire_audit_events_actor_user_id_fkey,actor_user_id,app_user,id
questionnaire_audit_events,questionnaire_audit_events_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_definitions,questionnaire_definitions_created_by_user_id_fkey,created_by_user_id,app_user,id
questionnaire_internal_inputs,questionnaire_internal_inputs_source_question_id_fkey,source_question_id,questionnaire_questions,id
questionnaire_internal_inputs,questionnaire_internal_inputs_version_id_fkey,version_id,questionnaire_versions,id
questionnaire_question_modes,questionnaire_question_modes_question_id_fkey,question_id,questionnaire_questions,id
questionnaire_questions,questionnaire_questions_section_id_fkey,section_id,questionnaire_sections,id
questionnaire_questions,questionnaire_questions_version_id_fkey,version_id,questionnaire_versions,id
questionnaire_repeat_mapping,questionnaire_repeat_mapping_canonical_question_id_fkey,canonical_question_id,questionnaire_questions,id
questionnaire_repeat_mapping,questionnaire_repeat_mapping_repeated_question_id_fkey,repeated_question_id,questionnaire_questions,id
questionnaire_repeat_mapping,questionnaire_repeat_mapping_version_id_fkey,version_id,questionnaire_versions,id
questionnaire_scale_options,questionnaire_scale_options_scale_ref_id_fkey,scale_ref_id,questionnaire_scales,id
questionnaire_scales,questionnaire_scales_version_id_fkey,version_id,questionnaire_versions,id
questionnaire_sections,questionnaire_sections_version_id_fkey,version_id,questionnaire_versions,id
questionnaire_session_access_links,questionnaire_session_access_links_access_grant_id_fkey,access_grant_id,questionnaire_access_grants,id
questionnaire_session_access_links,questionnaire_session_access_links_actor_user_id_fkey,actor_user_id,app_user,id
questionnaire_session_access_links,questionnaire_session_access_links_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_access_links,questionnaire_session_access_links_share_code_id_fkey,share_code_id,questionnaire_share_codes,id
questionnaire_session_answers,questionnaire_session_answers_answered_by_user_id_fkey,answered_by_user_id,app_user,id
questionnaire_session_answers,questionnaire_session_answers_canonical_question_id_fkey,canonical_question_id,questionnaire_questions,id
questionnaire_session_answers,questionnaire_session_answers_question_id_fkey,question_id,questionnaire_questions,id
questionnaire_session_answers,questionnaire_session_answers_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_internal_features,questionnaire_session_internal_features_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_internal_features,questionnaire_session_internal_features_source_question_id_fkey,source_question_id,questionnaire_questions,id
questionnaire_session_items,questionnaire_session_items_question_id_fkey,question_id,questionnaire_questions,id
questionnaire_session_items,questionnaire_session_items_section_id_fkey,section_id,questionnaire_sections,id
questionnaire_session_items,questionnaire_session_items_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_pdf_exports,questionnaire_session_pdf_exports_generated_by_user_id_fkey,generated_by_user_id,app_user,id
questionnaire_session_pdf_exports,questionnaire_session_pdf_exports_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_result_comorbidity,questionnaire_session_result_comorbidity_result_id_fkey,result_id,questionnaire_session_results,id
questionnaire_session_result_comorbidity,questionnaire_session_result_comorbidity_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_result_domains,questionnaire_session_result_domains_result_id_fkey,result_id,questionnaire_session_results,id
questionnaire_session_result_domains,questionnaire_session_result_domains_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_results,questionnaire_session_results_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_tags,questionnaire_session_tags_assigned_by_user_id_fkey,assigned_by_user_id,app_user,id
questionnaire_session_tags,questionnaire_session_tags_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_session_tags,questionnaire_session_tags_tag_id_fkey,tag_id,questionnaire_tags,id
questionnaire_sessions,questionnaire_sessions_owner_user_id_fkey,owner_user_id,app_user,id
questionnaire_sessions,questionnaire_sessions_version_id_fkey,version_id,questionnaire_versions,id
questionnaire_share_codes,questionnaire_share_codes_created_by_user_id_fkey,created_by_user_id,app_user,id
questionnaire_share_codes,questionnaire_share_codes_session_id_fkey,session_id,questionnaire_sessions,id
questionnaire_tags,questionnaire_tags_owner_user_id_fkey,owner_user_id,app_user,id
questionnaire_versions,questionnaire_versions_definition_id_fkey,definition_id,questionnaire_definitions,id
recovery_code,recovery_code_user_id_fkey,user_id,app_user,id
refresh_token,refresh_token_user_id_fkey,user_id,app_user,id
report_jobs,report_jobs_requested_by_user_id_fkey,requested_by_user_id,app_user,id
risk_alert,risk_alert_evaluation_id_fkey,evaluation_id,evaluation,id
risk_alert,risk_alert_evaluation_prediction_detail_id_fkey,evaluation_prediction_detail_id,evaluation_prediction_detail,id
risk_alert,risk_alert_notified_psychologist_id_fkey,notified_psychologist_id,app_user,id
risk_alert,risk_alert_resolved_by_user_id_fkey,resolved_by_user_id,app_user,id
subject_guardian,subject_guardian_subject_id_fkey,subject_id,subject,id
subject_guardian,subject_guardian_user_id_fkey,user_id,app_user,id
synthetic_data_batch,synthetic_data_batch_created_by_user_id_fkey,created_by_user_id,app_user,id
training_run,training_run_ml_model_version_id_fkey,ml_model_version_id,ml_model_version,id
training_run,training_run_training_dataset_id_fkey,training_dataset_id,training_dataset,id
user_mfa,user_mfa_user_id_fkey,user_id,app_user,id
user_role,user_role_role_id_fkey,role_id,role,id
user_role,user_role_user_id_fkey,user_id,app_user,id
user_session,user_session_user_id_fkey,user_id,app_user,id
